service_id,date,exception_type
IDFM:210118,20240616,2
IDFM:219434,20240615,2
IDFM:219439,20240616,2
IDFM:219534,20240609,1
IDFM:219534,20240623,1
IDFM:219544,20240623,1
IDFM:219569,20240616,2
IDFM:219569,20240615,2
IDFM:219578,20240615,2
IDFM:219578,20240623,1
IDFM:TN:5942665,20240621,2
IDFM:TN:5943087,20240622,1
IDFM:TN:5943612,20240612,2
IDFM:TN:5943612,20240620,2
IDFM:TN:5943612,20240624,2
IDFM:TN:5944043,20240622,2
IDFM:TN:5944292,20240609,2
IDFM:TN:5944292,20240608,2
IDFM:TN:5944333,20240608,2
IDFM:TN:5944375,20240621,1
IDFM:TN:5944381,20240621,2
IDFM:TN:5944381,20240620,2
IDFM:TN:5944381,20240619,2
IDFM:TN:5944381,20240618,2
IDFM:TN:5944381,20240617,2
IDFM:TN:5944381,20240627,2
IDFM:TN:5944381,20240626,2
IDFM:TN:5944381,20240625,2
IDFM:TN:5944381,20240624,2
IDFM:TN:5944851,20240615,2
IDFM:TN:5945104,20240609,2
IDFM:TN:5945104,20240608,2
IDFM:TN:5945406,20240628,1
IDFM:TN:5945486,20240623,1
IDFM:TN:5945486,20240622,1
IDFM:TN:5945486,20240630,1
IDFM:TN:5945486,20240629,1
IDFM:TN:5945492,20240616,2
IDFM:TN:5945494,20240608,1
IDFM:TN:5945494,20240615,1
IDFM:TN:5945566,20240627,1
IDFM:TN:5945566,20240626,1
IDFM:TN:5945566,20240625,1
IDFM:TN:5945566,20240624,1
IDFM:TN:5945786,20240621,2
IDFM:TN:5945786,20240620,2
IDFM:TN:5945786,20240619,2
IDFM:TN:5945786,20240618,2
IDFM:TN:5945786,20240617,2
IDFM:TN:5945786,20240628,2
IDFM:TN:5945786,20240627,2
IDFM:TN:5945786,20240626,2
IDFM:TN:5945786,20240625,2
IDFM:TN:5945786,20240624,2
IDFM:TN:5945833,20240621,2
IDFM:TN:5945833,20240620,2
IDFM:TN:5945833,20240619,2
IDFM:TN:5945833,20240618,2
IDFM:TN:5945833,20240617,2
IDFM:TN:5945915,20240608,1
IDFM:TN:5945918,20240623,2
IDFM:TN:5945943,20240609,2
IDFM:TN:5945988,20240615,2
IDFM:TN:5945990,20240608,1
IDFM:TN:5945990,20240629,1
IDFM:TN:5945992,20240628,1
IDFM:TN:5945993,20240622,2
IDFM:TN:5946168,20240617,1
IDFM:TN:5946168,20240701,1
IDFM:TN:5946190,20240616,2
IDFM:TN:5946192,20240623,1
IDFM:TN:5946192,20240630,1
IDFM:TN:5946197,20240615,1
IDFM:TN:5946200,20240617,2
IDFM:TN:5946216,20240623,2
IDFM:TN:5946221,20240609,1
IDFM:TN:5946224,20240609,1
IDFM:TN:5946224,20240608,1
IDFM:TN:5946224,20240618,2
IDFM:TN:5946224,20240625,2
IDFM:TN:5946229,20240621,1
IDFM:TN:5946239,20240629,1
IDFM:TN:5946483,20240607,1
IDFM:TN:5946483,20240614,1
IDFM:TN:5946483,20240613,1
IDFM:TN:5946483,20240612,1
IDFM:TN:5946483,20240611,1
IDFM:TN:5946483,20240610,1
IDFM:TN:5946483,20240704,1
IDFM:TN:5946483,20240703,1
IDFM:TN:5946483,20240702,1
IDFM:TN:5946483,20240701,1
IDFM:TN:5946486,20240628,2
IDFM:TN:5946486,20240627,2
IDFM:TN:5946486,20240626,2
IDFM:TN:5946486,20240624,2
IDFM:TN:5946489,20240628,2
IDFM:TN:5946489,20240627,2
IDFM:TN:5946489,20240626,2
IDFM:TN:5946489,20240625,2
IDFM:TN:5946489,20240624,2
IDFM:TN:5946500,20240625,2
IDFM:TN:5946534,20240609,1
IDFM:TN:5946534,20240608,1
IDFM:TN:5946536,20240621,2
IDFM:TN:5946536,20240620,2
IDFM:TN:5946536,20240619,2
IDFM:TN:5946536,20240617,2
IDFM:TN:5946536,20240628,2
IDFM:TN:5946536,20240627,2
IDFM:TN:5946536,20240626,2
IDFM:TN:5946536,20240624,2
IDFM:TN:5946541,20240609,1
IDFM:TN:5946554,20240609,1
IDFM:TN:5946554,20240608,1
IDFM:TN:5946564,20240623,2
IDFM:TN:5946568,20240616,1
IDFM:TN:5946609,20240621,2
IDFM:TN:5946642,20240608,2
IDFM:TN:5946643,20240609,1
IDFM:TN:5946643,20240608,1
IDFM:TN:5946643,20240611,1
IDFM:TN:5946643,20240702,1
IDFM:TN:5946653,20240615,2
IDFM:TN:5946653,20240621,1
IDFM:TN:5946654,20240608,1
IDFM:TN:5946654,20240621,1
IDFM:TN:5946654,20240629,1
IDFM:TN:5946875,20240614,2
IDFM:TN:5946875,20240620,1
IDFM:TN:5946875,20240619,1
IDFM:TN:5946875,20240618,1
IDFM:TN:5946875,20240617,1
IDFM:TN:5946881,20240621,2
IDFM:TN:5946881,20240620,2
IDFM:TN:5946881,20240619,2
IDFM:TN:5946881,20240618,2
IDFM:TN:5946881,20240617,2
IDFM:TN:5946972,20240616,2
IDFM:TN:5946988,20240611,1
IDFM:TN:5946988,20240702,1
IDFM:TN:5947009,20240628,2
IDFM:TN:5947009,20240627,2
IDFM:TN:5947009,20240626,2
IDFM:TN:5947009,20240625,2
IDFM:TN:5947009,20240624,2
IDFM:TN:5947026,20240609,1
IDFM:TN:5947026,20240622,1
IDFM:TN:5947026,20240630,1
IDFM:TN:5947202,20240613,1
IDFM:TN:5947202,20240612,1
IDFM:TN:5947202,20240611,1
IDFM:TN:5947202,20240610,1
IDFM:TN:5947242,20240619,2
IDFM:TN:5947242,20240618,2
IDFM:TN:5947345,20240609,1
IDFM:TN:5947345,20240616,1
IDFM:TN:5947345,20240615,2
IDFM:TN:5947346,20240616,2
IDFM:TN:5947348,20240623,2
IDFM:TN:5947760,20240607,1
IDFM:TN:5947819,20240611,2
IDFM:TN:5947819,20240610,2
IDFM:TN:5947940,20240623,2
IDFM:TN:5947940,20240622,2
IDFM:TN:5948129,20240620,2
IDFM:TN:5948129,20240619,2
IDFM:TN:5948129,20240618,2
IDFM:TN:5948129,20240617,2
IDFM:TN:5948140,20240614,2
IDFM:TN:5948140,20240613,2
IDFM:TN:5948140,20240612,2
IDFM:TN:5948140,20240611,2
IDFM:TN:5948140,20240610,2
IDFM:TN:5948171,20240613,2
IDFM:TN:5948192,20240617,1
IDFM:TN:5948194,20240609,1
IDFM:TN:5948194,20240616,1
IDFM:TN:5948194,20240611,2
IDFM:TN:5948194,20240617,1
IDFM:TN:5948194,20240624,1
IDFM:TN:5948240,20240617,2
IDFM:TN:5948537,20240621,2
IDFM:TN:5948537,20240620,2
IDFM:TN:5948537,20240619,2
IDFM:TN:5948537,20240618,2
IDFM:TN:5948537,20240617,2
IDFM:TN:5948539,20240613,1
IDFM:TN:5948539,20240612,1
IDFM:TN:5948539,20240611,1
IDFM:TN:5948539,20240610,1
IDFM:TN:5948539,20240621,2
IDFM:TN:5948539,20240627,1
IDFM:TN:5948539,20240626,1
IDFM:TN:5948539,20240625,1
IDFM:TN:5948539,20240624,1
IDFM:TN:5948576,20240607,1
IDFM:TN:5948576,20240614,1
IDFM:TN:5948576,20240613,1
IDFM:TN:5948576,20240612,1
IDFM:TN:5948576,20240611,1
IDFM:TN:5948576,20240610,1
IDFM:TN:5948592,20240704,1
IDFM:TN:5948592,20240703,1
IDFM:TN:5948592,20240701,1
IDFM:TN:5948609,20240613,2
IDFM:TN:5948609,20240612,2
IDFM:TN:5948609,20240611,2
IDFM:TN:5948609,20240610,2
IDFM:TN:5948609,20240621,1
IDFM:TN:5948609,20240628,1
IDFM:TN:5948757,20240621,1
IDFM:TN:5948757,20240628,1
IDFM:TN:5948901,20240703,2
IDFM:TN:5948901,20240701,2
IDFM:TN:5948957,20240621,1
IDFM:TN:5948957,20240620,1
IDFM:TN:5948957,20240619,1
IDFM:TN:5948957,20240618,1
IDFM:TN:5948957,20240617,1
IDFM:TN:5948957,20240704,1
IDFM:TN:5948957,20240703,1
IDFM:TN:5948957,20240702,1
IDFM:TN:5948957,20240701,1
IDFM:TN:5948958,20240621,1
IDFM:TN:5948958,20240620,1
IDFM:TN:5948958,20240619,1
IDFM:TN:5948958,20240618,1
IDFM:TN:5948958,20240704,1
IDFM:TN:5948958,20240703,1
IDFM:TN:5948958,20240702,1
IDFM:TN:5948958,20240701,1
IDFM:TN:5949135,20240613,1
IDFM:TN:5949135,20240612,1
IDFM:TN:5949135,20240611,1
IDFM:TN:5949135,20240624,2
IDFM:TN:5949135,20240704,1
IDFM:TN:5949135,20240703,1
IDFM:TN:5949135,20240702,1
IDFM:TN:5949140,20240624,1
IDFM:TN:5949196,20240621,2
IDFM:TN:5949196,20240620,2
IDFM:TN:5949196,20240619,2
IDFM:TN:5949196,20240618,2
IDFM:TN:5949196,20240617,2
IDFM:TN:5949273,20240621,1
IDFM:TN:5949273,20240628,1
IDFM:TN:5949273,20240627,1
IDFM:TN:5949273,20240626,1
IDFM:TN:5949273,20240625,1
IDFM:TN:5949273,20240624,1
IDFM:TN:5949273,20240704,1
IDFM:TN:5949273,20240703,1
IDFM:TN:5949273,20240702,1
IDFM:TN:5949273,20240701,1
IDFM:TN:5949318,20240621,2
IDFM:TN:5949318,20240620,2
IDFM:TN:5949318,20240619,2
IDFM:TN:5949318,20240618,2
IDFM:TN:5949318,20240617,2
IDFM:TN:5949378,20240615,2
IDFM:TN:5949379,20240616,2
IDFM:TN:5949379,20240615,2
IDFM:TN:5949380,20240616,1
IDFM:TN:5949400,20240616,2
IDFM:TN:5949450,20240614,2
IDFM:TN:5949450,20240613,2
IDFM:TN:5949450,20240612,2
IDFM:TN:5949450,20240610,2
IDFM:TN:5949450,20240618,1
IDFM:TN:5949450,20240625,1
IDFM:TN:5949453,20240614,2
IDFM:TN:5949453,20240613,2
IDFM:TN:5949453,20240612,2
IDFM:TN:5949453,20240611,2
IDFM:TN:5949453,20240610,2
IDFM:TN:5949468,20240614,1
IDFM:TN:5949468,20240613,1
IDFM:TN:5949468,20240612,1
IDFM:TN:5949468,20240610,1
IDFM:TN:5949468,20240618,2
IDFM:TN:5949468,20240625,2
IDFM:TN:5949791,20240607,1
IDFM:TN:5949791,20240610,1
IDFM:TN:5949791,20240704,1
IDFM:TN:5949791,20240703,1
IDFM:TN:5949791,20240702,1
IDFM:TN:5949791,20240701,1
IDFM:TN:5949798,20240618,2
IDFM:TN:5950057,20240614,2
IDFM:TN:5950147,20240607,1
IDFM:TN:5950147,20240614,1
IDFM:TN:5950147,20240627,2
IDFM:TN:5950147,20240626,2
IDFM:TN:5950147,20240625,2
IDFM:TN:5950147,20240624,2
IDFM:TN:5950154,20240612,2
IDFM:TN:5950154,20240611,2
IDFM:TN:5950157,20240613,1
IDFM:TN:5950157,20240612,1
IDFM:TN:5950157,20240611,1
IDFM:TN:5950157,20240610,1
IDFM:TN:5950157,20240628,2
IDFM:TN:5950157,20240704,1
IDFM:TN:5950157,20240703,1
